bh	bg	be	bd	bf	bc	ba	bb	az	ax	ay	a	d	b	c	aa	aw	e	z	ab	g	ar	f	ac	y	m	at	w	u	h	x	ad	q	n	au	t	o	v	k	p	ao	am	r	av	af	i	ag	as	aj	aq	ai	ah	s	l	ak	an	al	j	ae	ap	class
0.0032	0.009	0.018	0.0167	0.0084	0.0072	0.0065	0.0159	0.0027	0.0324	0.0232	0.02	0.0207	0.0371	0.0428	0.7104	0.0383	0.0954	0.6415	0.808	0.1539	0.4256	0.0986	0.6791	0.6711	0.2238	0.1386	0.4328	0.5783	0.1601	0.555	0.3857	0.31	0.0645	0.1051	0.4797	0.066	0.5071	0.1609	0.2273	0.051	0.4943	0.2999	0.1343	0.2604	0.3109	0.5121	0.2641	0.8507	0.2825	0.8537	0.7547	0.5078	0.1582	0.6692	0.2744	0.6097	0.2111	0.1307	0.2834	R
0.0044	0.0052	0.014	0.0191	0.0049	0.0094	0.0089	0.0048	0.0084	0.0061	0.0125	0.0453	0.0689	0.0523	0.0843	0.3271	0.0409	0.1183	0.32	0.2767	0.2156	0.1628	0.2583	0.4423	0.325	0.6919	0.0203	0.3957	0.5212	0.3481	0.3914	0.2028	1.0	0.7797	0.053	0.7818	0.7464	0.4052	0.4918	0.9444	0.1674	0.184	0.8874	0.0742	0.2947	0.3337	0.1984	0.0621	0.4182	0.1401	0.1306	0.2341	0.8024	0.6552	0.3835	0.197	0.1057	0.2872	0.3788	0.0583	R
0.0078	0.0095	0.0316	0.0244	0.0164	0.018	0.0166	0.0095	0.0232	0.0106	0.0033	0.0262	0.1083	0.0582	0.1099	0.507	0.013	0.0974	0.2413	0.8533	0.2431	0.2222	0.228	0.6036	0.5331	0.5544	0.0176	0.4293	0.7974	0.3771	0.3648	0.8514	0.6759	0.532	0.1348	0.8619	0.6479	0.6737	0.6333	0.6931	0.4647	0.5375	0.7551	0.0744	0.5045	0.5598	0.1862	0.2111	0.3043	0.2129	0.4232	0.2709	0.8929	0.706	0.6116	0.4719	0.6756	0.6194	0.8512	0.2587	R
0.0117	0.004	0.005	0.0073	0.0044	0.0085	0.0036	0.015	0.0121	0.0294	0.0241	0.01	0.0205	0.0171	0.0623	0.5256	0.0681	0.0205	0.5334	0.252	0.1098	0.3202	0.0368	0.209	0.314	0.0184	0.3654	0.5556	0.2741	0.1276	0.4846	0.3559	0.0693	0.2261	0.2655	0.3973	0.1729	0.369	0.0881	0.2131	0.6121	0.9857	0.2281	0.1576	0.734	0.0598	0.612	0.4295	0.3012	0.321	0.3953	0.3497	0.406	0.1992	0.5408	0.9167	0.8814	0.1264	0.626	0.5006	R
0.0094	0.0107	0.0072	0.0015	0.0048	0.011	0.0054	0.0105	0.0031	0.0046	0.0156	0.0762	0.0394	0.0666	0.0481	0.6995	0.023	0.059	0.2285	1.0	0.1209	0.0841	0.0649	0.7262	0.3161	0.4256	0.0528	0.573	0.4148	0.2467	0.5399	0.4724	0.7306	0.4135	0.0357	0.4636	0.4528	0.4292	0.4152	0.5326	0.1979	0.2828	0.6193	0.0085	0.5459	0.3564	0.2881	0.0692	0.4181	0.1847	0.1951	0.0981	0.2032	0.3952	0.4604	0.243	0.3217	0.4459	0.5103	0.2444	R
0.0062	0.0051	0.0057	0.0089	0.0027	0.0013	0.0014	0.0038	0.0045	0.0081	0.0104	0.0286	0.0174	0.0453	0.0277	0.5389	0.0264	0.0384	0.5782	0.375	0.1201	0.1238	0.099	0.3411	0.2043	0.6343	0.1089	0.589	0.2074	0.1833	0.2872	0.5067	0.9508	0.8198	0.0623	0.5122	1.0	0.3985	0.2988	0.9988	0.2707	0.4054	0.9025	0.0494	0.4778	0.2105	0.3299	0.1192	0.2856	0.0723	0.1407	0.2198	0.7234	0.425	0.3807	0.3296	0.4158	0.3039	0.558	0.265	R
0.0103	0.0036	0.0092	0.0138	0.0143	0.007	0.0248	0.0131	0.0201	0.0159	0.0195	0.0317	0.1408	0.0956	0.1321	0.5713	0.0507	0.1674	0.6826	0.5429	0.0731	0.1749	0.171	0.2177	0.5268	0.0513	0.0597	0.939	0.7723	0.1401	0.5559	0.2149	0.515	0.3752	0.1124	0.4233	0.5419	0.9735	0.1786	0.544	0.5017	0.5479	0.4262	0.1047	0.6323	0.2083	0.2965	0.1304	0.5163	0.1957	0.2969	0.1873	0.2024	0.0658	0.6153	0.6133	0.4283	0.3513	0.5811	0.2377	R
0.0053	0.0048	0.0085	0.0097	0.0047	0.0121	0.012	0.0045	0.0081	0.0178	0.0052	0.0519	0.0319	0.0548	0.0842	0.8872	0.0285	0.1158	0.822	0.6091	0.1027	0.1437	0.0922	0.2967	0.7613	0.2657	0.236	0.6809	0.7832	0.0613	0.9174	0.1103	0.2617	0.3801	0.1125	0.9402	0.5626	0.5352	0.2802	0.4376	0.1151	0.4288	0.1199	0.0254	0.0624	0.1465	0.099	0.2146	0.105	0.1879	0.3666	0.4006	0.6676	0.3086	0.1915	0.2546	0.393	0.2838	0.1318	0.2196	R
0.0022	0.0059	0.0065	0.0049	0.0093	0.0058	0.0128	0.0145	0.0145	0.0439	0.0061	0.0223	0.0475	0.0375	0.0484	0.9611	0.0777	0.0647	0.7366	0.7353	0.0753	0.1099	0.0591	0.4856	0.3374	0.3833	0.1271	0.6712	0.9802	0.0098	0.4286	0.1594	0.0349	0.3598	0.1459	0.9925	0.1713	0.889	0.1156	0.1136	0.2558	0.168	0.3796	0.1164	0.4096	0.0684	0.317	0.0985	0.2186	0.2121	0.3408	0.3305	0.7401	0.1654	0.2463	0.2792	0.2726	0.1487	0.3007	0.174	R
0.004	0.0056	0.0032	0.0068	0.0035	0.0084	0.0223	0.0179	0.009	0.0198	0.0118	0.0164	0.007	0.0173	0.0347	0.8289	0.0092	0.0187	0.7545	0.8907	0.1056	0.1384	0.0671	0.7309	0.9207	0.1266	0.0688	0.9203	0.6068	0.0697	0.9719	0.6896	0.2826	0.089	0.0867	0.4333	0.0198	0.7652	0.0801	0.1133	0.062	0.0696	0.3234	0.0513	0.4935	0.0962	0.3101	0.0372	0.1108	0.1597	0.0244	0.0306	0.3238	0.1056	0.1594	0.0452	0.1371	0.0251	0.5829	0.1421	R
